method,k,coercivity_lhs,initial_phi,young_remainder,analytical_bound,lhs_over_bound
Reference,0.25,0.04649528395571746,0.18343070735786393,0.321357421875,0.504788129232864,0.09210851298420432
Reference,0.5,0.09449636317723939,0.31259621624164313,0.321357421875,0.6339536381166431,0.14905879151978732
Reference,1.0,0.15815247499838136,0.4252568041533281,0.321357421875,0.7466142260283282,0.2118262276352349
Reference,2.0,0.1648426821546686,0.42781250000000015,0.321357421875,0.7491699218750001,0.22003376983168954
FDM,0.25,0.046495542903082214,0.18343070735786393,0.321357421875,0.504788129232864,0.09210902596648293
FDM,0.5,0.09451686847939406,0.31259621624164313,0.321357421875,0.6339536381166431,0.14909113663293405
FDM,1.0,0.1582216674192414,0.4252568041533281,0.321357421875,0.7466142260283282,0.21191890256486773
FDM,2.0,0.1649015093266777,0.42781250000000015,0.321357421875,0.7491699218750001,0.22011229296815216
FEM,0.25,0.04650119742346161,0.18343070735786393,0.321357421875,0.504788129232864,0.09212022773619964
FEM,0.5,0.09451238523488102,0.31259621624164313,0.321357421875,0.6339536381166431,0.14908406475221048
FEM,1.0,0.1581865521725396,0.4252568041533281,0.321357421875,0.7466142260283282,0.21187186991336227
FEM,2.0,0.16485821975591597,0.42781250000000015,0.321357421875,0.7491699218750001,0.22005450958750952
